F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.605451,0.0,0.0,0.0,-100.0,0.20013459,1.1600641,0.0060773683,0.37222221,0.10217509,0.2544382,0.4682699,0.6918061,0.86777514,0.77779657,0.6208975,0.7221635,0.82438534,0.81084424,1.0141883,1.143755,1.0970665,1.2145596,1.0623125,1.3768778,1.4762484,1.7601523,1.7757941,1.6281657,1.8482324,2.169863,1.7358896,1.7203599,1.603906,1.3937427,0.0007941192,0.00082637166,520.8333,1052.0834,1854.1666,3052.0833,0.02870944,1323.3027,5.579619,1027032.56,0.9071719,2.6623423,-0.00015322646,0.97628146,0.00071649137,-2.212288,-3.6361046,-20.04072,-21.574347,-0.87599564,-9.039526,-11.037556,-15.5493555,-0.8458679,2.190684,5.5581207,-2.090429,6.8071804,3.1828644
0.0,0.6333704,0.0,0.0,0.0,-100.0,0.19712289,1.1524204,0.0060186065,0.39027777,0.09663547,0.27243325,0.4658412,0.72495836,0.94726086,0.8212166,0.68904066,0.7036117,0.67874795,0.7207856,0.9454611,0.9946287,1.0210959,1.2844937,1.0553658,1.3366829,1.3991066,1.6459111,1.7564429,1.7584466,1.8919678,2.174122,1.8323464,1.7590116,1.579042,1.4082748,0.00064503116,0.0008603418,531.25,1072.9166,2093.75,2906.25,0.025357356,1373.0453,5.706162,1024575.3,0.7237442,2.3022485,-0.0001259232,1.00452,0.0006520253,-2.150162,-3.0658464,-15.979705,-22.439598,0.6779564,-6.227526,-10.244402,-14.483958,-2.0643613,2.9737282,5.0653963,-3.4826772,4.5162625,0.99589354
0.0,0.6340623,0.0,0.0,0.0,-100.0,0.21433191,1.1518029,0.0066867513,0.4076389,0.09776384,0.3047583,0.45643726,0.7056857,0.9238126,0.8097624,0.75565904,0.68455416,0.58847237,0.6957803,0.8751535,0.8461731,0.93489105,1.3010194,1.0928088,1.3018122,1.435551,1.5715612,1.7746769,1.8857164,2.028492,2.1901944,1.8657355,1.7734442,1.602271,1.4446882,0.0005860929,0.0011768291,635.4167,1083.3334,2218.75,2760.4167,0.028263727,1413.0239,5.6366787,961706.06,0.7116775,2.2986329,-0.00017519179,1.0423732,0.000833141,-3.7759466,-5.785772,-16.42484,-22.58845,3.5168197,1.1665908,-2.4535549,-13.057506,-11.786136,5.2784896,4.78383,-4.5713334,0.8000161,-3.601183
0.0,0.6152631,0.0,0.0,0.0,-100.0,0.22570425,1.1739777,0.0073039494,0.41944444,0.10034939,0.31408376,0.43013203,0.6514263,0.82127357,0.7698464,0.81098825,0.6993227,0.6336037,0.7670047,0.8407194,0.75835353,0.9396909,1.3061782,1.2461597,1.3303107,1.5114251,1.538094,1.7674376,1.9520025,2.243784,2.3135111,1.8487301,1.7598901,1.6725283,1.4965739,0.0006909512,0.0014221868,645.8333,760.4167,2208.3333,2750.0,0.0287636,1346.4032,5.330401,925083.2,0.8528716,2.3633652,-0.00022372599,1.014761,0.0010986797,-5.2205963,-9.2800665,-21.607492,-21.300272,4.3545914,-0.7361515,7.554981,-10.221759,-18.159636,6.658297,5.6394296,0.051116306,2.455637,-3.2663624
0.0,0.6033195,0.0,0.0,0.0,-100.0,0.22787477,1.1985973,0.0074082394,0.43402776,0.09656564,0.29023406,0.38908973,0.5783505,0.6960192,0.7365721,0.83461636,0.7372729,0.75934577,0.83846146,0.79397637,0.7125953,1.005789,1.2908727,1.4474846,1.4255708,1.5425638,1.4941559,1.7052598,1.9173619,2.3782804,2.474033,1.8491403,1.7695503,1.7954884,1.60488,0.000795892,0.0015609727,635.4167,1010.4167,2562.5,3020.8333,0.032297257,1502.0795,5.3025265,1162749.9,0.6484416,1.9912891,-0.00019607076,1.0737213,0.0011350871,-7.523047,-6.5720334,-25.055353,-23.592337,-4.1774154,-1.1057652,10.983069,-10.902507,-18.68934,3.9657943,3.922691,2.7606232,9.134981,-3.5709085
0.0,0.59676135,0.0,0.0,0.0,-100.0,0.22200572,1.2150332,0.006902085,0.43611112,0.0887152,0.24425669,0.34445956,0.51680714,0.64028746,0.7278333,0.8222532,0.7574448,0.8493984,0.83797526,0.70735383,0.66902566,1.0691245,1.2655933,1.4979544,1.5221109,1.5208222,1.470571,1.5972362,1.8500303,2.4146683,2.6171556,1.9121398,1.8704334,1.93215,1.8450627,0.0006598537,0.0017399174,802.0833,1604.1666,2916.6667,3395.8333,0.030924477,1822.2186,5.5254807,1305152.6,0.17280304,1.6946568,-7.0476846e-05,1.2216083,0.000962753,-9.981475,-3.914654,-23.692957,-24.642853,-9.092697,-3.6526089,4.932415,-9.243724,-14.019496,4.830931,1.9803905,10.693578,10.009433,-3.6356754
0.0,0.57734,0.0,0.0,0.0,-100.0,0.22326379,1.2118282,0.00683504,0.4340278,0.081856996,0.21019234,0.31722873,0.5060729,0.67162895,0.71836597,0.78288317,0.7275885,0.8203504,0.7579932,0.6224065,0.661305,1.0735904,1.2396759,1.3650618,1.5683361,1.5046124,1.501809,1.5544511,1.7615916,2.3034477,2.6022606,1.9734963,2.004862,2.0681431,2.1083229,0.00053823733,0.0017800365,875.0,2041.6666,3093.75,3500.0,0.032294765,1981.3246,5.843428,1389994.1,-0.038885683,1.5750723,-6.5883437e-06,1.292549,0.0008289125,-9.732694,-1.9444853,-20.047705,-20.80599,-10.959537,-4.0469117,-5.909857,-12.827075,-7.312365,4.8664107,2.1585982,7.350965,10.013714,-0.9433833
0.0,0.58762074,0.0,0.0,0.0,-100.0,0.25123286,1.2251116,0.007740988,0.42222223,0.08247678,0.19628255,0.32019642,0.53179395,0.74138063,0.718515,0.74015695,0.68673944,0.7323473,0.7056263,0.6561029,0.7473352,1.0369371,1.2305547,1.1865972,1.6164385,1.5441166,1.6685786,1.6269785,1.7310706,2.2108123,2.4917839,2.0244567,2.1078746,2.1596644,2.3580847,0.00081185874,0.0020913535,895.8333,1791.6666,2645.8333,3406.25,0.036792908,1826.4219,5.7508836,1198404.5,0.31385466,2.1967516,-0.00015402836,1.2356173,0.0012508952,-8.944828,-5.3245893,-21.73243,-19.30889,-5.0363574,-1.3941469,-12.74558,-17.18068,-2.5156934,12.489753,1.376763,4.666958,8.003394,5.6591034
0.0,0.6267627,0.0,0.0,0.0,-100.0,0.26399797,1.2609215,0.0087320665,0.41180554,0.09577469,0.2002933,0.34607986,0.59524477,0.8035107,0.710643,0.69614697,0.6586209,0.67332006,0.7403569,0.84177,0.96144706,1.0374516,1.2816105,1.1252048,1.6160396,1.5631796,1.8713657,1.767396,1.7440859,2.1426558,2.3244486,2.1204464,2.200991,2.204512,2.4613626,0.00085002655,0.0022909176,781.25,1614.5834,2635.4167,3229.1667,0.043657016,1719.818,5.7273383,1226953.6,0.43296626,2.0262377,-0.00018978404,1.1799742,0.00150545,-7.508391,-4.5067086,-21.781755,-13.249686,2.3771868,-1.7316507,-16.792974,-21.238495,1.2449945,7.040113,9.778495,4.0513606,10.937443,10.727188
0.0,0.67699814,0.0,0.0,0.0,-100.0,0.2818574,1.316795,0.009982651,0.40833333,0.1181632,0.21282996,0.38365045,0.6688022,0.81956273,0.71554685,0.6867526,0.68729943,0.72844833,0.85977453,1.0537682,1.2223133,1.0997794,1.3522786,1.1835202,1.5768324,1.5372005,2.0274782,1.9193487,1.801127,2.1204371,2.1975405,2.2434988,2.261329,2.2695541,2.4898367,0.0010747417,0.0027136102,708.3333,1187.5,2458.3333,3322.9167,0.051971365,1590.5249,5.471016,1241919.4,0.669899,2.1726913,-0.00028786686,1.1222749,0.0020109508,-7.037618,-5.001089,-24.089422,-14.830036,5.238497,2.3381774,-14.307251,-14.476693,-4.5087066,2.7319143,8.992845,9.521334,8.9642515,9.864212
